ID,平台,中文名,英文名,描述,热度,作者,主要配料1,主要配料2,制作步骤数,难度,准备时间(分钟),标签
1,小红书,菠萝椰林飘香,Pineapple Piña Colada,比传统椰林飘香更突出菠萝风味，小红书热门配方,8500,酒鬼少女,新鲜菠萝汁,白朗姆酒,5,中等,10,#菠萝鸡尾酒 #椰林飘香 #夏日饮品
2,小红书,夏日菠萝莫吉托,Summer Pineapple Mojito,传统莫吉托的菠萝变种，小红书爆款,7200,调酒师日记,新鲜菠萝汁,白朗姆酒,6,复杂,11,#莫吉托 #菠萝饮品 #自制鸡尾酒
3,小红书,菠萝得其利,Pineapple Daiquiri,经典得其利鸡尾酒的菠萝版本，在小红书很受欢迎,5300,酒吧在家,新鲜菠萝汁,白朗姆酒,5,中等,10,#得其利 #菠萝调酒 #经典改编
4,小红书,菠萝马提尼,Pineapple Martini,优雅的菠萝风味马提尼，适合派对场合,4200,派对达人,菠萝汁,伏特加,3,中等,7,#马提尼 #派对饮品 #优雅调酒
5,小红书,热带菠萝宾治,Tropical Pineapple Punch,适合多人派对的菠萝宾治，小红书分享很多,6100,派对策划师,菠萝汁,橙汁,4,复杂,9,#宾治 #派对酒 #多人饮品
101,抖音,菠萝冰沙鸡尾酒,Pineapple Smoothie Cocktail,抖音爆款！菠萝冰沙与鸡尾酒的完美结合,120000,调酒师阿明,冷冻菠萝块,伏特加,5,中等,10,#菠萝冰沙 #创意调酒 #抖音爆款
102,抖音,彩虹菠萝鸡尾酒,Rainbow Pineapple Cocktail,抖音热门分层鸡尾酒，色彩绚丽，制作简单,89000,饮品实验室,菠萝汁,蓝橙利口酒,6,复杂,10,#彩虹鸡尾酒 #分层饮品 #抖音教程
103,抖音,烧烤配菠萝啤酒,BBQ Pineapple Beer Cocktail,抖音男士最爱，烧烤必备的菠萝啤酒鸡尾酒,65000,户外美食家,新鲜菠萝汁,淡色啤酒,6,复杂,10,#烧烤伴侣 #啤酒调酒 #男士饮品
104,抖音,菠萝泡泡鸡尾酒,Pineapple Bubble Cocktail,抖音创意饮品，加入泡泡糖风味,78000,创意调酒师,菠萝汁,朗姆酒,5,中等,10,#创意饮品 #泡泡糖 #抖音热门
105,抖音,抖音特调菠萝饮,Douyin Special Pineapple Drink,抖音网红特调，简单易学,95000,网红饮品店,菠萝汁,雪碧,6,复杂,10,#抖音特调 #网红饮品 #简单调酒
